Date,Close
1/3/1991,321.910004
1/4/1991,321
1/7/1991,315.440002
1/8/1991,314.899994
1/9/1991,311.48999
1/10/1991,314.529999
1/11/1991,315.230011
1/14/1991,312.48999
1/15/1991,313.730011
1/16/1991,316.170013
1/17/1991,327.970001
1/18/1991,332.230011
1/21/1991,331.059998
1/22/1991,328.309998
1/23/1991,330.209991
1/24/1991,334.779999
1/25/1991,336.070007
1/28/1991,336.029999
1/29/1991,335.839996
1/30/1991,340.910004
1/31/1991,343.929993
2/1/1991,343.049988
2/4/1991,348.339996
2/5/1991,351.26001
2/6/1991,358.070007
2/7/1991,356.519989
2/8/1991,359.350006
2/11/1991,368.579987
2/12/1991,365.5
2/13/1991,369.019989
2/14/1991,364.220001
2/15/1991,369.059998
2/19/1991,369.390015
2/20/1991,365.140015
2/21/1991,364.970001
2/22/1991,365.649994
2/25/1991,367.26001
2/26/1991,362.809998
2/27/1991,367.73999
2/28/1991,367.070007
3/1/1991,370.470001
3/4/1991,369.329987
3/5/1991,376.720001
3/6/1991,376.170013
3/7/1991,375.910004
3/8/1991,374.950012
3/11/1991,372.959991
3/12/1991,370.029999
3/13/1991,374.570007
3/14/1991,373.5
3/15/1991,373.589996
3/18/1991,372.109985
3/19/1991,366.589996
3/20/1991,367.920013
3/21/1991,366.579987
3/22/1991,367.480011
3/25/1991,369.829987
3/26/1991,376.299988
3/27/1991,375.350006
3/28/1991,375.220001
4/1/1991,371.299988
4/2/1991,379.5
4/3/1991,378.940002
4/4/1991,379.769989
4/5/1991,375.359985
4/8/1991,378.660004
4/9/1991,373.559998
4/10/1991,373.149994
4/11/1991,377.630005
4/12/1991,380.399994
4/15/1991,381.190002
4/16/1991,387.619995
4/17/1991,390.450012
4/18/1991,388.459991
4/19/1991,384.200012
4/22/1991,380.950012
4/23/1991,381.76001
4/24/1991,382.76001
4/25/1991,379.25
4/26/1991,379.019989
4/29/1991,373.660004
4/30/1991,375.339996
5/1/1991,380.290009
5/2/1991,380.519989
5/3/1991,380.799988
5/6/1991,380.079987
5/7/1991,377.320007
5/8/1991,378.51001
5/9/1991,383.25
5/10/1991,375.73999
5/13/1991,376.76001
5/14/1991,371.619995
5/15/1991,368.570007
5/16/1991,372.190002
5/17/1991,372.390015
5/20/1991,372.279999
5/21/1991,375.350006
5/22/1991,376.190002
5/23/1991,374.959991
5/24/1991,377.48999
5/28/1991,381.940002
5/29/1991,382.790009
5/30/1991,386.959991
5/31/1991,389.829987
6/3/1991,388.059998
6/4/1991,387.73999
6/5/1991,385.089996
6/6/1991,383.630005
6/7/1991,379.429993
6/10/1991,378.570007
